id,claim,domain,structure,label,topic,prediction,random_baseline,majority_baseline,tfidf_baseline,run_id
10468.0,"US planes in fire after #Iran's missile attack: Source http://bit.ly/39P6gnq #IranvsUSA #Solemani #IranAttacks #AinAssad.""",3.0,UGC,0.0,Iran,0.0,1,1.0,1.0,0
10309.0,"How it started: ""Matt Gaetz defends lone no vote on anti-human trafficking bill.""

How it’s going: ""The DOJ is reportedly investigating whether Rep. Matt Gaetz had a sexual relationship with a 17-year-old and violated sex-trafficking laws""",2.0,UGC,1.0,Political Figures,0.0,0,1.0,1.0,0
10109.0,Boston Children's Hospital promotes the use of Lupron as puberty blockers for transgender kids. Lupron is used to castrate sex offenders and has been linked to thousands of deaths. It' also not FDA approved for use as a puberty blocker for kids with gender dysphoria.,1.0,UGC,0.0,Sexual/Gender Health,0.0,1,1.0,1.0,0
10374.0,"it's cool how Netanyahu is on record saying they have to prop up Hamas to undermine Fatah, and Hamas's funding comes mostly from gulf oil monarchies, and the American press looks at this situation and decides the ultimate responsibility for Hamas's terrorism lies with American College Students",3.0,UGC,0.0,Palestine/Isreal,0.0,0,1.0,1.0,0
10027.0,Getting fully vaccinated dramatically reduces the risk of Long COVID. ,1.0,UGC,1.0,Covid,0.0,1,1.0,1.0,0
10328.0,Turkey finally aproved Sweden to join NATO.,2.0,UGC,1.0,Global Politics,0.0,0,1.0,1.0,0
10150.0,ALREADY KILLED THE ELDERLY..NOW GOING AFTER THE MOST VULNERABLE..OUR LITTLE ONES..PARENTS  DON'T GIVE THESE VACCINES TO YOUR CHILDREN!! SENSE THEY ARE DOING SOMETHING TO OUR IMMUNE SYSTEMS..THEY ARE NOT GOING TO ACT RIGHT!!<emoji: fire><emoji: fire><emoji: fire>,1.0,UGC,0.0,Vaccines,0.0,1,1.0,1.0,0
10220.0,"While American citizens are forced to purchase their groceries at Salvaged Food Stores in Joe Biden‚Äôs economy, illegal aliens who just crossed into America in July are now receiving food stamps, Wic benefits, free cell phones, healthcare, and housing.",2.0,UGC,0.0,Immigration,0.0,1,1.0,1.0,0
10111.0,"People are NOT happier after transitioning, the studies show it. Thousands of adults detransitioning. ",1.0,UGC,0.0,Sexual/Gender Health,1.0,0,1.0,1.0,0
10504.0,"What the hell happened to Trump's *ceasefire deal LMMFAO : Iran says won't dismantle missiles, ready for war with Israel",3.0,UGC,1.0,Iran,0.0,1,1.0,1.0,0
10158.0,"I don't know who needs to hear this, but in the past two years we've had a bio weapon unleashed on us so that politicians can use mail-in ballots to steal an election and implement global communism, had poisonous vaccines unconstitutionally and inhumanely mandated upon us so that rich elites could get wealthier and thin the population, had these same vaccines pushed on our children including babies, and had safety data about the poisonous vaccines intentionally hidden from us.  Time to stand up!",1.0,UGC,1.0,Vaccines,1.0,1,1.0,1.0,0
10043.0,This is what the border crisis brings. Dudes all loaded on fentanyl.. #westernwhitehouse,1.0,UGC,0.0,Drug Crisis,0.0,1,1.0,1.0,0
10132.0,"The thing is, we've all watched as republications have also opposed the availability of contraceptives and HPV vaccine that protects against cervical cancer any time they've had the opportunity",1.0,UGC,1.0,Sexual/Gender Health,1.0,1,1.0,1.0,0
10143.0,"Vaxxed Sperm No Longer Swims, Vaxxed Embryos No Longer Grow. 90 yr old with a menstrual cycle   https: www.ournewearthnews.com/2022/06/15/vaxxed-sperm-no-longer-swims-vaxxed-embryos-no-longer-grow-90-yr-old-with-a-menstrual-cycle/",1.0,UGC,0.0,Vaccines,0.0,1,1.0,1.0,0
10149.0,"Australia's brutal mandated COVID-19 vaccine program a complete failure.  Of deaths in NSW this week, 97/98 (99%) where among the fully vaccinated.  Vaccination increased the risk for hospitalization and ICU transfer.  We do not need specialized statistics to understand the COVID-19 vaccines (mRNA, adenoviral, and antigen based) have failed at stopping transmission, occurrence, hospitalization or death.  A complete bust for the mandated products that have ruined so many lives.",1.0,UGC,0.0,Vaccines,1.0,1,1.0,1.0,0
10151.0,THESE VACCINES DID DAMAGE TO PEOPLES  IMMUNE SYSTEMS THAT THEY WILL NOT ACT RIGHT WHEN UNDER ATTACK..WILL THE COMING FLU SEASON REVEAL THERE IS A BIG PROBLE!!,1.0,UGC,0.0,Vaccines,0.0,1,1.0,1.0,0
10025.0,Testing negative doesn’t guarantee you don’t have covid but you’re more likely to test positive when your viral load is high (which also correlated with how contagious you are). ,1.0,UGC,1.0,Covid,1.0,1,1.0,1.0,0
10365.0,"“Israel” ran two propaganda ads during the #SuperBowl while carrying attacks from the land, air, and sea, on Rafah, killing at least 63 civilians, most of whom were children.",3.0,UGC,1.0,Palestine/Isreal,0.0,1,1.0,1.0,0
10424.0,Russia is deadass holding presidential elections in Ukrainian territory they're occupying right now to try and legitimize their control there. While people are protesting and getting beaten by police. This is actually happening in 2024,3.0,UGC,1.0,Ukraine/Russia,0.0,0,1.0,1.0,0
10141.0,"If your vaccine works only if I also take it, your vaccine does not work.",1.0,UGC,0.0,Vaccines,0.0,1,1.0,1.0,0
10021.0,Repeat infections make long COVID more likely.,1.0,UGC,1.0,Covid,0.0,1,1.0,1.0,0
