id,claim,domain,structure,label,topic,prediction,random_baseline,majority_baseline,tfidf_baseline,run_id
10291.0,Barack Obama needs to be exposed for running a deep state and a third term,2.0,UGC,0.0,Political Figures,0.0,1,1.0,1.0,1
10257.0,"""The extraordinary Colorado election case now headed for SCOTUS to decide if former President Donald Trump is disqualified from the ballot had its humble beginnings three years ago in the Maryland basement office of a self-proclaimed legal nerd.""",2.0,UGC,1.0,Elections,0.0,0,1.0,1.0,1
10228.0,"Objectively speaking Biden's border policies have vast overlap with Trump's, he deported a record high number of people and he gets barely any of the criticism Trump did for it",2.0,UGC,1.0,Immigration,0.0,0,1.0,1.0,1
10119.0,Simply affirming a teenager's gender is akin to affirming anorexia. Both are body dysmorphic disorders. Yet we don't teach a starving teenager how to binge and purge; or affirm that they are indeed overweight.,1.0,UGC,0.0,Sexual/Gender Health,0.0,0,1.0,1.0,1
10334.0,"EU leaders are meeting in Brussels for their quarterly summit with a goal of securing financial and political support for Ukraine. But Prime Minister Viktor Orban of Hungary, who is seen as Vladimir Putin's closest ally, has suggested he will block both.",2.0,UGC,1.0,Global Politics,0.0,0,1.0,1.0,1
10251.0,The just out movie 2000 Mules shows conclusively that the 2020 Presidential Election was Rigged and Stolen. It is a brilliant movie that will go down as one of the most consequential of all time. SEE IT NOW!,2.0,UGC,0.0,Elections,0.0,0,1.0,1.0,1
10216.0,20 MILLION ILLEGALS IN THE UNITED STATES OF AMERICA THANKS TO JOE BIDEN,2.0,UGC,0.0,Immigration,0.0,1,1.0,1.0,1
10356.0,"People keep bringing up the 2006 election in Gaza but
-roughly 75% of current residents of Gaza are under the age of 35, so weren't even 18 at the time
-There was 75% turnout at the time
-Hamas received 44.45% of the vote",3.0,UGC,1.0,Palestine/Isreal,0.0,0,1.0,1.0,1
10457.0,RuSsIa Is At WaR wItH uKrAiNe - MSM Narritive. Ukraine has a ton of US govt funded BioWeapons Labs that created deathly pathogens and viruses. Ukraine is mainly enforced by Neo-Nazi groups who work with the army.  3. There has been a long standing shadow government set up by US Deep State in Ukraine by BAD actors ,3.0,UGC,0.0,Ukraine/Russia,1.0,0,1.0,1.0,1
10122.0,Sperm can live inside a woman's vagina for up to five days waiting for her to begin ovulating.,1.0,UGC,1.0,Sexual/Gender Health,0.0,0,1.0,1.0,1
10364.0,"The fucking nerve! Israel is responsible for killing the most UNRWA workers in the organization's history, but they want UNRWA to evacuate Palestinians from Rafah?",3.0,UGC,1.0,Palestine/Isreal,0.0,1,1.0,1.0,1
10507.0,Schumer is the only Democratic Senator that voted against Obama's Iran Nuclear deal to appease AIPAC and Netenyahu. Only slightly less Muslim averse than his republican colleagues.,3.0,UGC,1.0,Iran,0.0,0,1.0,1.0,1
10329.0,Turkey approved the nato expansion,2.0,UGC,1.0,Global Politics,0.0,1,1.0,1.0,1
10109.0,Boston Children's Hospital promotes the use of Lupron as puberty blockers for transgender kids. Lupron is used to castrate sex offenders and has been linked to thousands of deaths. It' also not FDA approved for use as a puberty blocker for kids with gender dysphoria.,1.0,UGC,0.0,Sexual/Gender Health,0.0,1,1.0,1.0,1
10508.0,"Trump told everyone he was a oeacemaker, but he has yet to end any wars.",3.0,UGC,1.0,Iran,0.0,1,1.0,1.0,1
10501.0,Trump is bailing out argentina with billions of US dollars but MAGA stays silent? What happened to the outrage vibes over the Iranian money Obama sent back to Iran? Where is that energy? ,3.0,UGC,1.0,Iran,1.0,0,1.0,1.0,1
10476.0,The USA has already had a muslim president. He sent over a billion in cash to Iran to fund a war.,3.0,UGC,0.0,Iran,0.0,1,1.0,1.0,1
10494.0,Russia and Iran finalized a deal to build eight nuclear power plants #EnergySky,3.0,UGC,1.0,Iran,0.0,0,1.0,1.0,1
10347.0,"More than 30 children were abducted from their homes and taken to Gaza during the Hamas-led assault on Oct. 7. Some are expected to be among the first hostages released in the coming days under a cease-fire, but the wait is straining their families.",3.0,UGC,1.0,Palestine/Isreal,0.0,1,1.0,1.0,1
10402.0,"Tonight Russia bombed an apartment building and killed people in Ukraine. Again. This time Lviv, the city just 50km from Polish (and NATO) border was targeted. Ukraine needs F-16s and ATACMS asap to counter those terroristic Russian attacks",3.0,UGC,1.0,Ukraine/Russia,0.0,1,1.0,1.0,1
10154.0,FYI theres proof showing that serious heart inflammation is 44 Times Higher After Covid Vaccination ,1.0,UGC,0.0,Vaccines,0.0,1,1.0,1.0,1
10312.0,Crooked Zelenskyy finally let the cat out of the bad abnd admitted to the global money laundering scheme that military aid is. ,2.0,UGC,0.0,Global Politics,0.0,1,1.0,1.0,1
