id,claim,domain,structure,label,topic,source,Topic,item_id,prediction,correct,model
10236.0,DEMS ARE DESTROYING AMERICAN WITH A FOREIGN BORN POP HITTING 47M IN THE US IN 2022! As of April 2022 this is the largest number ever recorded in any U.S. government survey The foreign born/illegal aliens increased by 2 million with Biden in office (1.35 million are Illegals) which is twice as fast as the NATURAL BORN population growth  https://cis.org/Report/ForeignBorn-Population-Hit-Record-47-Million-April-2022%29 #MT22 #UMTOO #MAGA #AndBeOnd,2,UGC,1,Immigration,UGC,,236,0,0,roberta-base
10087.0,Gastrointestinal medicine practitioners have noticed something strange in recent years: More young people are being diagnosed with colorectal cancer. Nurse practitioner Jennifer Fijor joins us to talk about the warning signs.,1,UGC,1,Medicine/Public Health,UGC,,87,1,1,roberta-base
10341.0,Trump called Viktor Orban the presidant of Turkey… this is the guy who MAGA trust to lead foreign affairs?,2,UGC,1,Global Politics,UGC,,341,0,0,roberta-base
20463.0,"U.N. says Iran executed over 900 people in 2024, including dozens of women",3,NGC,1,,NGC,Iran,1454,1,1,roberta-base
10083.0,"Billions in Big Pharma profits, and they couldn’t admit a cheap farm drug works better than all their antivirals. #DoYourResearch #Ivermectin",1,UGC,0,Medicine/Public Health,UGC,,83,0,1,roberta-base
10206.0,Immigration policy is getting so bad that #Biden is using resources for our veterans and giving them to illegal alliens.,2,UGC,0,Immigration,UGC,,206,0,1,roberta-base
10046.0,Teen Opioid Deaths Have Surge 350% in 2023 Thanks To Rise Of Fentanyl and Open Borders.,1,UGC,0,Drug Crisis,UGC,,46,0,1,roberta-base
20201.0,NEW: Trump signs Insurrection Act - General Flynn to be appointed vice president. ,2,NGC,0,,NGC,Jan 6th,1192,0,1,roberta-base
10125.0,"According to the FDA, there are side effects for children taking puberty blockers, these include brain swlling and blindness. We can't act like taking medications like this is entirely safe. ",1,UGC,1,Sexual/Gender Health,UGC,,125,1,1,roberta-base
10379.0,"The aid from air drops is not only wholly insufficient, but now it’s killed like 10 people.

Biden could force Israel to allow the thousands of trucks at the border in by threatening to cut off weapons shipments. He hasn’t.",3,UGC,0,Palestine/Isreal,UGC,,379,1,0,roberta-base
10223.0,White house to give cell phones to illegal aliens. Unbelievable.,2,UGC,0,Immigration,UGC,,223,0,1,roberta-base
20004.0,"High Blood Pressure Meds Don't Increase COVID-19 Risks, Study Finds",1,NGC,1,,NGC,Covid,995,1,1,roberta-base
20329.0,SWEDEN IS ON BRINK OF COLLAPSE… Gun Purchases Are Way Up…Pepper Spray Selling Out…Muslims Beating Non-Muslims On Streets,2,NGC,0,,NGC,Global Politics,1320,0,1,roberta-base
