id,claim,domain,structure,label,Topic,prediction,random_baseline,majority_baseline,tfidf_baseline,run_id
20298,Military ARRESTS Hunter Biden!,2,NGC,0,Political Figures,0.0,0,1,1,3
20099,New study finds link between open borders and fentanyl drug deaths,1,NGC,0,Drug Crisis,1.0,1,1,1,3
20491,General William Barr tweets that the US gave Iran USA taxpayer dollars so Iran could purchase uranium from Russia.,3,NGC,0,Iran,0.0,0,1,1,3
20365,Hundreds of thousands flee Israeli military's devastating assault on Gaza City,3,NGC,1,Palestine/Isreal,0.0,0,1,1,3
20159,New Washington state law allows “government to take away minors from parents if they refuse to agree to gender-transition surgery.”,1,NGC,0,Sexual/Gender Health,0.0,0,1,1,3
20258,"Mitch McConnell says ""Joe Biden’s win wasn’t unusually close.""",2,NGC,1,Elections,1.0,1,1,1,3
20295,BREAKING: Hunter Biden DIES of Crack Overdose,2,NGC,0,Political Figures,0.0,0,1,1,3
20466,Former Iranian Deputy FM Mohammad-Javad Larijani Threatens: A Drone Can Hit Trump in the Bellybutton While He Is Sunbathing at Mar-a-Lago; Macron Could Be Hit While Partying at a Discotheque,3,NGC,1,Iran,0.0,0,1,1,3
20301,"President Joe Biden Rescinds Medal of Freedom given to Trump's campaign manager, Bradley Birkenfeld.",2,NGC,0,Political Figures,0.0,0,1,1,3
20257,"State of New York consistently ranks low for voter turnout, data shows.",2,NGC,1,Elections,1.0,1,1,1,3
20338,Ukrainian President Volodymyr Zelenskyy used U.S. aid funds to buy two yachts for $75 million.,2,NGC,0,Global Politics,0.0,0,1,1,3
20492,Iranian missiles aimed at U.S. troops were funded by American taxpayers,3,NGC,0,Iran,0.0,0,1,1,3
20145,"At least one in six abortions in the U.S., around 14,000 a month, were administered through telemedicine, with clinicians prescribing mail-order abortion pills after online consultations, the first nationwide count of telehealth abortions found. nyti.ms/3UXTSvb",1,NGC,1,Sexual/Gender Health,1.0,0,1,1,3
20361,Israel strikes Gaza after Trump calls for stop to bombing,3,NGC,1,Palestine/Isreal,0.0,0,1,1,3
20042,Myocarditis risk after COVID infection exceeds post-vaccine risk.,1,NGC,1,Vaccines,1.0,1,1,1,3
20127,CDC Silently Adds  Ivermectin As Essenitial Drug For Viruses,1,NGC,0,Medicine/Public Health,0.0,0,1,1,3
20133,Baryta Carb slwos progression of childlike regression in Alzheimer's patients.,1,NGC,0,Medicine/Public Health,0.0,1,1,1,3
20179,"Trump calls LA protesters insurrectionists, pardoned January 6th insurrectionists",2,NGC,1,Jan 6th,0.0,1,1,1,3
20084,"Quitting smoking associated with recovery from other addictions, study finds.",1,NGC,1,Drug Crisis,1.0,1,1,1,3
20051,HPV vaccination rates remain low despite vaccine's proven effectiveness in preventing multiple cancers.,1,NGC,1,Vaccines,1.0,0,1,1,3
20033,The U.S. CDC quietly updated their numbers in August to show that only 6% of all coronavirus deaths were completely due to the coronavirus alone,1,NGC,0,Covid,0.0,1,1,1,3
20064,NEW STUDY: mRNA vaccine reduces sperm rate for up to five months,1,NGC,0,Vaccines,1.0,0,1,1,3
20235,BREAKING: President Trump signs visa-free travel policy for Ghana and Malawi ,2,NGC,0,Immigration,0.0,1,1,1,3
20203,Reps. Alexandria Ocasio-Cortez and Jamie Raskin “have filed articles of impeachment against President Trump for pardoning the J6 prisoners.,2,NGC,0,Jan 6th,0.0,1,1,1,3
20170,St. Louis Children's Hospital promotes Lupron as a puberty blocker for kids. Lupron is linked to thousands of deaths and has been used to chemically castrate sex offenders. They also don't notify patients through their site that puberty blockers are not FDA approved to treat trans kids. ,1,NGC,0,Sexual/Gender Health,1.0,1,1,1,3
20121,HEALTH EXCLUSIVE: Clinic Funded By Biden Administration Distributes Crack Pipes To Addicts Outside A ‚ÄòSchool‚Äô,1,NGC,0,Medicine/Public Health,0.0,1,1,1,3
20187,"I did my duty' Mike Pence gets courage award for certifying election on Jan. 6th, 2021.",2,NGC,1,Jan 6th,0.0,1,1,1,3
20048,WHO: Global vaccination coverage dropped from 86% to 81% over past year,1,NGC,1,Vaccines,1.0,1,1,1,3
20165,"Supposedly “safe” abortion pill 'mifepristone' hospitalizes five Ohio women, causes serious complications in many more",1,NGC,0,Sexual/Gender Health,0.0,1,1,1,3
20510,Donald Trump violates the Logan Act by resharing 2018 Iran tweet on Truth Social.,3,NGC,0,Iran,0.0,1,1,1,3
20062,Dr. Anthony Fauci says: “as soon as a COVID-19 vaccine is manufactured it must be delivered to healthcare professionals for immediate human injection. Proper studies can be done later.”,1,NGC,0,Vaccines,0.0,0,1,1,3
20357,Israeli government approves first part of peace deal to release hostages,3,NGC,1,Palestine/Isreal,0.0,1,1,1,3
20202,"A Jan. 6, 2021, U.S. Capitol rioter pardoned by President Donald Trump was “killed when she used her 2A rights with a shotgun while being served for eviction.",2,NGC,0,Jan 6th,0.0,1,1,1,3
20210,Census data suggests one out of every 30 people in the Greater Boston area is an illegal alien. ,2,NGC,1,Immigration,0.0,1,1,1,3
20435,White House Press Secretary Karine Jean-Pierre said the United States and Ukraine won World War II.,3,NGC,0,Ukraine/Russia,0.0,0,1,1,3
20375,"FBI Director Christopher Wray warns Congress that with the border wide open and a war in Israel, Hamas can just walk right in.""",3,NGC,0,Palestine/Isreal,0.0,1,1,1,3
20055,"Second Pfizer Jab Taken Three Weeks After First Increases Myocarditis, Pericarditis Risk Tenfold https://link.theepochtimes.com/mkt_app/second-pfizer-jab-taken-three-weeks-after-first-increases-myocarditis-pericarditis-risk-tenfold_4553134.html",1,NGC,0,Vaccines,1.0,0,1,1,3
20005,Levels of SARS-CoV-2 RNA in Sewage Rose With COVID-19 Cases in Dutch Cities,1,NGC,1,Covid,1.0,0,1,1,3
20443,CNN tweets about “brave children” in Ukraine signing up to fight Russia.,3,NGC,0,Ukraine/Russia,0.0,0,1,1,3
20241,"NEW: ICE has released the tip hotline to turn in illegal immigrants, paying $750 for each illegal immigrant.",2,NGC,0,Immigration,0.0,0,1,1,3
20276,"In comments from 2024, 2017 and 2012, Republican U.S. Senate candidate Eric Hovde said he wants to repeal the Affordable Care Act",2,NGC,1,Political Figures,1.0,0,1,1,3
20074,"The Vietnam War claimed 58,200 American lives in 19 years and six months. In 2016, 64,070 Americans died of an overdose from opioids or heroin -report by Police Executive Research",1,NGC,1,Drug Crisis,1.0,1,1,1,3
20391,"In response to public boycotts, Israel changes their barcode from 729 to 871.",3,NGC,0,Palestine/Isreal,0.0,1,1,1,3
20457,Putin Destroys Adrenochrome Lab in Ukraine,3,NGC,0,Ukraine/Russia,0.0,1,1,1,3
20402,Trump puts onus on Zelenskyy to end conflict with Russia ahead of meeting,3,NGC,1,Ukraine/Russia,1.0,1,1,1,3
20327,FORMER MEXICAN PREZ Sends “Middle Finger” To TRUMP Days Before “Apology”: “Don’t play around with us…We can jump walls…We can swim rivers…And we can defend ourselves”,2,NGC,0,Global Politics,0.0,1,1,1,3
20186,"January 6th insurrection caused more than $2.5m in damage, per report. ",2,NGC,1,Jan 6th,1.0,0,1,1,3
20329,SWEDEN IS ON BRINK OF COLLAPSE… Gun Purchases Are Way Up…Pepper Spray Selling Out…Muslims Beating Non-Muslims On Streets,2,NGC,0,Global Politics,0.0,1,1,1,3
20427,Zelenskyy rejects Trump's proposal that Ukraine could swap territories with Russia,3,NGC,1,Ukraine/Russia,0.0,1,1,1,3
20419,"Ukrainian drones strike one of Russia's top oil refineries, sparking a fire",3,NGC,1,Ukraine/Russia,1.0,0,1,1,3
20113,"REPORT: ""50 per cent of men between the ages of 50 and 60 are likely to have an enlarged prostate, the Prostate Cancer Foundation of Australia (PCFA) estimates. 

Over the age of 70, the proportion reaches 80 per cent.""",1,NGC,1,Medicine/Public Health,1.0,1,1,1,3
