id,claim,domain,structure,label,Topic,prediction,random_baseline,majority_baseline,tfidf_baseline,run_id
20414,Russia launches deadly aerial attack on Ukraine as Poland scrambles jets,3,NGC,1,Ukraine/Russia,1.0,0,0,0,2
20368,Israeli finance minister describes plans to turn Gaza into a 'real estate bonanza' as bombs hammer the enclave,3,NGC,1,Palestine/Isreal,1.0,0,0,0,2
20371,Biden says he will stop sending bombs and artillery shells to Israel if it launches major invasion of Rafah,3,NGC,1,Palestine/Isreal,1.0,1,0,0,2
20299,Hillary Clinton leaves country as Mueller indictment is announceed,2,NGC,0,Political Figures,1.0,0,0,0,2
20465,Gunman in Iran's capital fatally shoots 2 judges tied to 1988 mass executions,3,NGC,1,Iran,1.0,0,0,0,2
20097,New Colorado policy legalizing fentanyl causes major spikes in overdose deaths,1,NGC,0,Drug Crisis,1.0,1,0,0,2
20021,FDA: Coronavirus found in crab legs.,1,NGC,0,Covid,1.0,0,0,0,2
20222,Bernie Sanders Praises Trump’s Job on Securing Border,2,NGC,1,Immigration,1.0,0,0,0,2
20405,Russian strikes on Kyiv kill at least 4 people and wound 16,3,NGC,1,Ukraine/Russia,1.0,1,0,0,2
20309,"Nancy Pelosi's Son Paul Jr. Was Exec at 'Ukraine-Based Gas Company,' Similar to Hunter Biden",2,NGC,0,Political Figures,1.0,0,0,0,2
20037,Florida vaccination rates fall DRASTICALLY,1,NGC,1,Vaccines,1.0,1,0,0,2
20348,Masked Israeli settlers attack Palestinian villages and IDF soldiers in the West Bank,3,NGC,1,Palestine/Isreal,1.0,1,0,0,2
20077,Shocking new report finds nitazenes more deadly than fentanyl,1,NGC,1,Drug Crisis,1.0,0,0,0,2
20291,Trump asked Comey to end investigation of Michael Flynn probe: report,2,NGC,1,Political Figures,1.0,1,0,0,2
20238,BREAKING: Rep. Maxine Waters calls for the United States to grant citizenship to every undocumented protester in Los Angeles 2025 protests.,2,NGC,0,Immigration,1.0,0,0,0,2
20335,Canada makes bold decision to shut down Tesla and the US auto industry.,2,NGC,0,Global Politics,1.0,1,0,0,2
20189,Trump once called Jan. 6th a 'heinous attack.' Now he calls it a 'day of love.',2,NGC,1,Jan 6th,1.0,1,0,0,2
20114,"Recent studies have linked UPFs such as ice-cream, fizzy drinks and ready meals to poor health, including an increased risk of cancer, weight gain and heart disease. Global consumption of the products is soaring and UPFs now make up more than half the average diet in the UK and US.

#Health",1,NGC,1,Medicine/Public Health,1.0,1,0,0,2
20096,"US drug overdose deaths rise in 2024, according to new report",1,NGC,0,Drug Crisis,1.0,1,0,0,2
20014,Research illustrates a clear correlation between vitamin D deficiencies and (higher) COVID-19 mortality rates.,1,NGC,1,Covid,1.0,1,0,0,2
20389,SCOOP: Ben & Jerry’s now selling “Free Palestine” and “From the River to Sea” ice cream flavors.,3,NGC,0,Palestine/Isreal,1.0,0,0,0,2
20025,Pentagon CONFIRMS coronavirus accidentally got into chemtrail supply train.,1,NGC,0,Covid,1.0,0,0,0,2
20432,An E! News report said USAID paid millions of dollars to sponsor American celebrity visits to Ukraine.,3,NGC,0,Ukraine/Russia,1.0,1,0,0,2
20275,BOMBSHELL: California Has 1.8M More Registered Voters Than it Should,2,NGC,0,Elections,1.0,1,0,0,2
20168,"Planned Parenthood selling “viable nonanomalous” fetuses to University of California, San Diego for experimentation",1,NGC,0,Sexual/Gender Health,1.0,1,0,0,2
20010,New findings suggest Black people four times as likely to test positive for COVID-19,1,NGC,1,Covid,1.0,1,0,0,2
20351,American-Israeli's body among 3 returned by Hamas,3,NGC,1,Palestine/Isreal,1.0,0,0,0,2
20151,BREAKING: PP Pauses Emergency Funding for Abortion Acecess,1,NGC,1,Sexual/Gender Health,1.0,0,0,0,2
20298,Military ARRESTS Hunter Biden!,2,NGC,0,Political Figures,1.0,0,0,0,2
20142,STUDY: 11.2% of late-term abortions in Quebec from 1989 to 2021 resulted in live births,1,NGC,1,Sexual/Gender Health,1.0,0,0,0,2
20319,Columbia agrees to pay $200 million to restore funding cut by Trump administration,2,NGC,1,Global Politics,1.0,0,0,0,2
20494,Trump's confession on Iran war proves Israel is merely a US military outpost in West Asia,3,NGC,0,Iran,1.0,1,0,0,2
20333,"Biden Sent $60,000 to U.K. For Pride Events — Trump Made $5 Billion in Trade Wins",2,NGC,0,Global Politics,1.0,1,0,0,2
20120,"MILESTONE: Cervical Cancer Rates Among Scottish Women Given HPV vaccine at 12-13 years of age, ZERO.",1,NGC,1,Medicine/Public Health,1.0,1,0,0,2
20453,"Biden-Funded Ukrainian Military Tortures, Kills, and EATS Innocent Russian Civilians",3,NGC,0,Ukraine/Russia,1.0,0,0,0,2
20095,SHOCKING NEW REPORT: Sherrif dies from inhaling fentanyl at overdose scene,1,NGC,0,Drug Crisis,1.0,1,0,0,2
20166,"POLITICIZED: Studies find abortion pill mifepristone dangerous, but medical journal retracts data ahead of Supreme Court hearing",1,NGC,0,Sexual/Gender Health,1.0,0,0,0,2
20136,"RFK Jr. outs DARPA, says they are spraying the skies with chemicals that are in jet fuel.",1,NGC,0,Medicine/Public Health,1.0,1,0,0,2
20289,"Alabama governor, caught in affair, agrees to plea deal and resigns",2,NGC,1,Political Figures,1.0,0,0,0,2
20349,Israel returns 15 bodies to Gaza after hostage remains are identified,3,NGC,1,Palestine/Isreal,1.0,1,0,0,2
20456,Trump Calls Putin to Congratulate Him on Surviving Another Deep State Assassination Attempt,3,NGC,0,Ukraine/Russia,1.0,1,0,0,2
