id,claim,domain,structure,label,Topic,prediction,random_baseline,majority_baseline,tfidf_baseline,run_id
20145,"At least one in six abortions in the U.S., around 14,000 a month, were administered through telemedicine, with clinicians prescribing mail-order abortion pills after online consultations, the first nationwide count of telehealth abortions found. nyti.ms/3UXTSvb",1,NGC,1,Sexual/Gender Health,1.0,0,0,0,2
20215,Trump's zero tolerance border policy lacks system for reuiniting familiies. ,2,NGC,1,Immigration,1.0,1,0,0,2
20414,Russia launches deadly aerial attack on Ukraine as Poland scrambles jets,3,NGC,1,Ukraine/Russia,1.0,0,0,0,2
20424,Russia's foreign minister says no Putin-Zelenskyy summit planned despite Trump's peace push,3,NGC,1,Ukraine/Russia,1.0,0,0,0,2
20156,DISGUSTING: Children's Hospital of Pittsburgh is now putting out promotional videos on puberty blockers for kids.,1,NGC,0,Sexual/Gender Health,1.0,0,0,0,2
20097,New Colorado policy legalizing fentanyl causes major spikes in overdose deaths,1,NGC,0,Drug Crisis,0.0,1,0,0,2
20021,FDA: Coronavirus found in crab legs.,1,NGC,0,Covid,0.0,0,0,0,2
20355,"Hamas needs more time to recover hostages' remains, U.S. advisers say as only nine of 28 bodies of slain abductees have been recovered. ",3,NGC,1,Palestine/Isreal,1.0,0,0,0,2
20112,"HOW COOL IS THIS?! Scientists have discovered a new way to destroy cancer cells. By stimulating aminocyanine molecules with near-infrared light, cancer cells vibrate in sync, enough to break apart their membranes! These “molecular jackhammers” DESTROYED 99% of cancer cells!",1,NGC,1,Medicine/Public Health,0.0,0,0,0,2
20309,"Nancy Pelosi's Son Paul Jr. Was Exec at 'Ukraine-Based Gas Company,' Similar to Hunter Biden",2,NGC,0,Political Figures,1.0,0,0,0,2
20037,Florida vaccination rates fall DRASTICALLY,1,NGC,1,Vaccines,0.0,1,0,0,2
20077,Shocking new report finds nitazenes more deadly than fentanyl,1,NGC,1,Drug Crisis,0.0,0,0,0,2
20238,BREAKING: Rep. Maxine Waters calls for the United States to grant citizenship to every undocumented protester in Los Angeles 2025 protests.,2,NGC,0,Immigration,0.0,0,0,0,2
20335,Canada makes bold decision to shut down Tesla and the US auto industry.,2,NGC,0,Global Politics,0.0,1,0,0,2
20189,Trump once called Jan. 6th a 'heinous attack.' Now he calls it a 'day of love.',2,NGC,1,Jan 6th,1.0,1,0,0,2
20114,"Recent studies have linked UPFs such as ice-cream, fizzy drinks and ready meals to poor health, including an increased risk of cancer, weight gain and heart disease. Global consumption of the products is soaring and UPFs now make up more than half the average diet in the UK and US.

#Health",1,NGC,1,Medicine/Public Health,1.0,1,0,0,2
20311,"Breaking News: Prime Minister Viktor Orban of Hungary endorsed Sweden’s NATO membership after blocking it for 19 months, saying that the two countries are “ready to fight for each other.”",2,NGC,1,Global Politics,1.0,1,0,0,2
20243,"In Georgia, it's illegal to give people water within 150 feet of a polling place and punishable by up to a year in prison.",2,NGC,1,Elections,1.0,1,0,0,2
20096,"US drug overdose deaths rise in 2024, according to new report",1,NGC,0,Drug Crisis,0.0,1,0,0,2
