id,claim,domain,structure,label,topic,prediction,random_baseline,majority_baseline,tfidf_baseline,run_id
10155.0,"It was on this great day, exactly four years ago, that President Trump signed RIGHT TO TRY.  She died because they refused the RIGHT TO TRY Ivermectin and Hydroxychloroquine. Instead she was given the death drug Remdesivir.<emoji: fire>RIP, you are forever missed!",1.0,UGC,1.0,Vaccines,0,0,1.0,1.0,0
10513.0,John Bolton was so extreme on his stance against arab countries  that even Trump was like let's get this guy out of here,3.0,UGC,1.0,Iran,0,1,1.0,1.0,0
10285.0,Joe Bidan is a perverted Pedophile Hunter is a child trafficking pediphile  Kamala Harris is a traitor mayor of Dc traitor   Pelosi Traitor Mitch Schumer graham the entire Democrats party is guilty of Treason  half you sleezy Republicans as well your all going to be put to death for Treason <emoji: boom><emoji: boom><emoji: boom><emoji: boom><emoji: boom><emoji: boom><emoji: hankey><emoji: hankey><emoji: hankey><emoji: hankey><emoji: hankey><emoji: dart><emoji: dart><emoji: dart><emoji: dart><emoji: face_vomiting><emoji: face_vomiting><emoji: face_vomiting><emoji: face_vomiting>,2.0,UGC,0.0,Political Figures,0,0,1.0,1.0,0
10122.0,Sperm can live inside a woman's vagina for up to five days waiting for her to begin ovulating.,1.0,UGC,1.0,Sexual/Gender Health,0,0,1.0,1.0,0
10258.0,The majority of Oregon’s Republican state senators are prohibited from running for re-election as a result of their repeated boycotts of legislative sessions last year,2.0,UGC,1.0,Elections,0,0,1.0,1.0,0
10127.0,South Carolina state law has been interpreted as banning aborting after six weeks of pregnancy. But Planned Parenthood is arguing that the ban is vague and shouldn't apply until at least three weeks later in pregnancy.,1.0,UGC,1.0,Sexual/Gender Health,0,1,1.0,1.0,0
10257.0,"""The extraordinary Colorado election case now headed for SCOTUS to decide if former President Donald Trump is disqualified from the ballot had its humble beginnings three years ago in the Maryland basement office of a self-proclaimed legal nerd.""",2.0,UGC,1.0,Elections,0,0,1.0,1.0,0
10459.0,Half of all Ukrainian aid was laundered and sent back to Democrat candidates for re-election.,3.0,UGC,0.0,Ukraine/Russia,0,0,1.0,1.0,0
10444.0,"#Truth Dont these idiots know they can cause another Chernobyl? Why is biden and pentagon sending them the missles to accomplish this act of Terrorism?  Zelenskyy Like I said is a CIA Operative and NWO Regime solely doing as he is told just like all the rest of them : Obama , Pelosi, Schiff, Nadler, Clinton, Demmings, Etc.   It seems the Democrats have renewed their Policies to NWO policies that are designed to appear Justified but really have hidden language that is enslaving #trumptrains",3.0,UGC,0.0,Ukraine/Russia,0,0,1.0,1.0,0
10468.0,"US planes in fire after #Iran's missile attack: Source http://bit.ly/39P6gnq #IranvsUSA #Solemani #IranAttacks #AinAssad.""",3.0,UGC,0.0,Iran,0,1,1.0,1.0,0
10215.0, The Biden administrational has 2 Storage Buildings full of supplies for illegal aliens that illegally cross the border.,2.0,UGC,0.0,Immigration,0,0,1.0,1.0,0
10419.0,"Oh, this is a big deal: Statement today from Ukraine's SBU. It's charging former Ukrainian lawmaker Derkach and former Ukrainian prosecutor Kulyk with treason against Ukraine.",3.0,UGC,1.0,Ukraine/Russia,1,0,1.0,1.0,0
10451.0,"Putin is cleaning up Ukraine from the bio labs, to the child trafficking, to the deep state money laundering He is a white hat and what your seeing on msm is fake news! This war isn't about land, it's about stopping the NWO.",3.0,UGC,0.0,Ukraine/Russia,0,0,1.0,1.0,0
10104.0,"Planned Parenthood receives $50, $75, $100 and even more per specimen, per fetal part<emoji: point_left>Stem cells are the caviar<emoji: 100>society is in a state of pure ignorance, if they believe that abortion is not promoted by doctors, corporate interests and government for pure profit and greed<emoji: 100>",1.0,UGC,0.0,Sexual/Gender Health,0,0,1.0,1.0,0
10286.0,EVERYTHING ABOUT OBAMA FROM WHERE HE WAS BORN..WAS A MANUFACTURED LIE !!<emoji: rage><emoji: fire><emoji: fire>,2.0,UGC,0.0,Political Figures,0,1,1.0,1.0,0
10309.0,"How it started: ""Matt Gaetz defends lone no vote on anti-human trafficking bill.""

How it’s going: ""The DOJ is reportedly investigating whether Rep. Matt Gaetz had a sexual relationship with a 17-year-old and violated sex-trafficking laws""",2.0,UGC,1.0,Political Figures,0,0,1.0,1.0,0
10269.0,"Colorado Supreme Court literally said Trump did an insurrection and kicked him off the ballot 4-3. then SCOTUS was like ""nah states can't do that"" and reversed it unanimously. didn't say he DIDN'T do it tho, just that states can't enforce it",2.0,UGC,1.0,Elections,0,1,1.0,1.0,0
