id,claim,domain,structure,label,Topic,prediction,random_baseline,majority_baseline,tfidf_baseline,run_id
20507,Iran: Reward to Assassinate President Trump Rises – Jumps to $21 Million,3,NGC,0,Iran,0.0,0,0,0,1
20501,Evidence Shows Nuclear Strike Destroyed Iran's Hypersonic Missiles Capable of Reaching New York in 12 Minutes.,3,NGC,0,Iran,0.0,0,0,0,1
20220,REPORT: CBP reports record 2.76 million border encounters in fiscal year 2022,2,NGC,1,Immigration,0.0,0,0,0,1
20251,"Texas Democrat calls mail-in ballot fraud the ""great source of voter fraud in this state.""",2,NGC,1,Elections,0.0,1,0,0,1
20125,America's Obesity Crisis Solved as EBT Benefits Run Out,1,NGC,0,Medicine/Public Health,0.0,0,0,0,1
20211,Rep. Paul Gosar asks Capitol Police to arrest illegal immigrants attending State of the Union ,2,NGC,1,Immigration,0.0,0,0,0,1
20455,Special Forces-Spetznas Team Crushes Adrenochrome Cartel in Ukraine,3,NGC,0,Ukraine/Russia,0.0,0,0,0,1
20012,Donald Trump Says He's Taking Hydroxychloroquine to Prevent Coronavirus in Press Conference,1,NGC,1,Covid,0.0,0,0,0,1
20347,"""Palestinians in Gaza are enduring horrifying levels of hunger and suffering” – UN Secretary-General António Guterres",3,NGC,1,Palestine/Isreal,0.0,0,0,0,1
20258,"Mitch McConnell says ""Joe Biden’s win wasn’t unusually close.""",2,NGC,1,Elections,0.0,1,0,0,1
20052,Mass vaccination for COVID-19 in Senegal was started yesterday (4/8) and the first 7 CHILDREN who received it DIED on the spot.,1,NGC,0,Vaccines,0.0,1,0,0,1
20474,"Vance says U.S. 'not at war with Iran, we're at war with Iran's nuclear program'",3,NGC,1,Iran,0.0,0,0,0,1
20403,$100M corruption scandal rocks Ukraine and embroils top Zelenskyy ally,3,NGC,1,Ukraine/Russia,0.0,0,0,0,1
20137,Face masks laced with cancer-causing toxic chemical formaldehyde,1,NGC,0,Medicine/Public Health,0.0,1,0,0,1
20110,"Cancer deaths in the U.S. are falling — with four million deaths prevented since 1991 — according to the American Cancer Society’s annual report, which highlighted declines in smoking, early detection and greatly improved treatments.",1,NGC,1,Medicine/Public Health,0.0,1,0,0,1
20479,U.S. considers banning Iranians from shopping at Costco during U.N. meeting,3,NGC,1,Iran,0.0,1,0,0,1
20092,NEW REPORT: Law enforcement personnel deaths from accidental fentanyl overdose surge in 2024. ,1,NGC,0,Drug Crisis,0.0,1,0,0,1
20335,Canada makes bold decision to shut down Tesla and the US auto industry.,2,NGC,0,Global Politics,0.0,1,0,0,1
20329,SWEDEN IS ON BRINK OF COLLAPSE… Gun Purchases Are Way Up…Pepper Spray Selling Out…Muslims Beating Non-Muslims On Streets,2,NGC,0,Global Politics,0.0,1,0,0,1
20068,"Pfizer, Moderna Shots More Likely to Cause Serious Injury Than Reduce Risk of COVID-Related Hospitalization ",1,NGC,0,Vaccines,0.0,0,0,0,1
20072,"New report comes after last months CDC report that over 100,000 drug overdose deaths in the US occurred during the first year of the pandemic. Of those deaths a majority (64%) involved synthetic opioids like illicitly manufactured fentanyl.",1,NGC,1,Drug Crisis,0.0,1,0,0,1
20102,"IN ULTRA-LIBERAL OREGON, OVERDOSE RATES SKYROCKET 700% AFTER THE STATE #LEGALIZES POSSESSION OF HARD DRUGS! https://www.theblaze.com/news/-2657458107?utm_source=theblaze-dailyAMandutm_medium=emailandutm_campaign=Daily-Newsletter__AM%202022-06-05andutm_term=ACTIVE%20LIST%20-%20TheBlaze%20Daily%20AM",1,NGC,0,Drug Crisis,0.0,1,0,0,1
20216,"In 2017, Twenty-seven percent of Californians born in a foreign land, data shows. ",2,NGC,1,Immigration,0.0,0,0,0,1
20235,BREAKING: President Trump signs visa-free travel policy for Ghana and Malawi ,2,NGC,0,Immigration,0.0,1,0,0,1
20321,UK recognizes a Palestinian state despite opposition from the U.S. and Israel,2,NGC,1,Global Politics,0.0,0,0,0,1
20213,Federal data shows Barack Obama deported more people in each of his terms than Trump.,2,NGC,1,Immigration,0.0,0,0,0,1
20271,"According to the Census Bureau, 5 million more people voted than were registered to vote in the 2020 election.",2,NGC,0,Elections,0.0,0,0,0,1
20331," Trudeau HUMILIATES Trump, Openly Prefers To Speak To Other U.S. Officials Instead",2,NGC,0,Global Politics,0.0,0,0,0,1
20006,"For some cases of long Covid, a new study suggests serotonin reduction is triggered by remnants of the coronavirus lingering in the gut. Depleted serotonin could especially explain memory problems and some neurological and cognitive symptoms, experts say.",1,NGC,1,Covid,0.0,1,0,0,1
20372,Breaking news: Megyn Kelly calls for boycott of Taylor Swift after singer attends charity event in Gaza.,3,NGC,0,Palestine/Isreal,0.0,1,0,0,1
20398,Cries of Victory in Israel — Gaza Now Belongs to Israel! HAMAS Surrenders Desperately!,3,NGC,0,Palestine/Isreal,0.0,1,0,0,1
20056,STUDY: Pfizer's COVID-19 Vaccine DOES Lower Men's Sperm Count. ,1,NGC,0,Vaccines,0.0,1,0,0,1
20313,"Portugal's prime minister resigned unexpectedly today, after police arrested his chief of staff on corruption allegations that have also involved a minister.",2,NGC,1,Global Politics,0.0,0,0,0,1
20301,"President Joe Biden Rescinds Medal of Freedom given to Trump's campaign manager, Bradley Birkenfeld.",2,NGC,0,Political Figures,0.0,1,0,0,1
20173,EXCLUSIVE: Trump has a new plan to save himself in a Jan 6 prosecution ... blame the whole thing on his insurrectionist lawyers https://www.rollingstone.com/politics/politics-features/donald-trump-jan6-jack-smith-rudy-giuliani-john-eastman-1234798826/,2,NGC,1,Jan 6th,0.0,1,0,0,1
20296,Hunter Biden's Prison Term Announced - Joe Biden STUNNED,2,NGC,0,Political Figures,0.0,1,0,0,1
20189,Trump once called Jan. 6th a 'heinous attack.' Now he calls it a 'day of love.',2,NGC,1,Jan 6th,0.0,1,0,0,1
20044,"COVID mRNA vaccines do NOT cause cancer or make cancer return. No scientific evidence suggests ANY vaccine causes cancer. In fact, some vaccines (like HPV & Hepatitis B) help prevent cancer.",1,NGC,1,Vaccines,0.0,1,0,0,1
20452,White Hats Confirm Lloyd Austin Killed in Ukraine,3,NGC,0,Ukraine/Russia,0.0,1,0,0,1
20244,Georgia House passes bill that makes it a misdemeanor to give food or water to voters waiting in line.,2,NGC,1,Elections,1.0,0,0,0,1
20373,NEW: King of Denmark waves Palestinian flag from the balcony in support of Palestine.,3,NGC,0,Palestine/Isreal,0.0,0,0,0,1
20210,Census data suggests one out of every 30 people in the Greater Boston area is an illegal alien. ,2,NGC,1,Immigration,0.0,0,0,0,1
20426,A Ukrainian startup develops long-range drones and missiles capable of striking Russia,3,NGC,1,Ukraine/Russia,0.0,0,0,0,1
20212,"TRUMP: In 2017, Illegal Immeigration on the U.S.-Mexico border is ""the lowest in 17 years.""",2,NGC,1,Immigration,0.0,0,0,0,1
20484,"ALERT: Democratic Sens. Ed Markey, Al Franken and Jeanne Shaheen ""took Bribes From Iran … They Back Insane NUKE Deal.",3,NGC,1,Iran,0.0,0,0,0,1
20386,The U.S. is sending $8 billion worth of military aid to Israel.,3,NGC,0,Palestine/Isreal,0.0,1,0,0,1
20099,New study finds link between open borders and fentanyl drug deaths,1,NGC,0,Drug Crisis,0.0,1,0,0,1
20101,"REPORT: In 2023, more than 105,000  teens died in U.S from fentanyl. ",1,NGC,0,Drug Crisis,0.0,0,0,0,1
20200,"U.S. Capitol Police gave protesters OK to enter, per new video. ",2,NGC,0,Jan 6th,0.0,1,0,0,1
20005,Levels of SARS-CoV-2 RNA in Sewage Rose With COVID-19 Cases in Dutch Cities,1,NGC,1,Covid,0.0,1,0,0,1
20273,Democrats Reveal BIG CLUE in the BIG STEAL: Operatives Manufactured Votes from Low Income Voters to Steal the Battleground States — Start the Canvassing!,2,NGC,0,Elections,0.0,1,0,0,1
20374,WHOOPS: Israel accidentally votes for Palestine at United Nations Security Council meeting.,3,NGC,0,Palestine/Isreal,0.0,0,0,0,1
