id,claim,domain,structure,label,Topic,prediction,random_baseline,majority_baseline,tfidf_baseline,run_id
20122,Biden Admin Issues New Masks With Holes In Them So You Can Smoke Your Free Government Crack Pipe,1,NGC,0,Medicine/Public Health,1.0,0,0,0,0
20469,Putin orders Russian emergency planes to Iran after blast at port of Bandar Abbas,3,NGC,1,Iran,1.0,1,0,0,0
20273,Democrats Reveal BIG CLUE in the BIG STEAL: Operatives Manufactured Votes from Low Income Voters to Steal the Battleground States — Start the Canvassing!,2,NGC,0,Elections,1.0,0,0,0,0
20308,Minnesota Gov. Tim Walz had his stomach pumped after overingesting horse semen.,2,NGC,0,Political Figures,1.0,0,0,0,0
20105,"MILESTONE: US projected to top 2 million new cancer diagnoses in 2024 for first time. While deaths decline, incidence rising for 6 of top 10 cancers including breast, prostate, and pancreatic cancer.",1,NGC,1,Medicine/Public Health,1.0,0,0,0,0
20330," Russians Mint ‘In Trump We Trust’ Coin To Commemorate U.S. Inauguration (IMAGE, VIDEO)",2,NGC,0,Global Politics,1.0,1,0,0,0
20297,"BOMBSHELL: Hunter Biden had 25,000 pics of him torturing and raping children under age 10 in China on his laptop!",2,NGC,0,Political Figures,1.0,0,0,0,0
20191,"NEW: Former President Joe Biden Pardons Michael Byrd, Jan. 6th insurrectionist",2,NGC,0,Jan 6th,1.0,0,0,0,0
20000,People of Color Face Heightened Risks as COVID-19 Surges Again,1,NGC,1,Covid,1.0,0,0,0,0
20438,Putin destroys adrenochrome lab in Ukraine.,3,NGC,0,Ukraine/Russia,1.0,0,0,0,0
20207,NEWS: Minnesota Gov. Tim Walz signs into law driver's licenses for illegal immigrants,2,NGC,1,Immigration,1.0,0,0,0,0
20303,SHOCKING: Justin Trudeau’s plane found filled with cocaine as he lands in India for the G20 summit.,2,NGC,0,Political Figures,1.0,0,0,0,0
20478,"Even after U.S. and Israeli strikes, Iran may still be able to build a nuclear weapon with hundreds of pounds of Iran's enriched uranium are still publicly unaccounted for.",3,NGC,1,Iran,1.0,0,0,0,0
20014,Research illustrates a clear correlation between vitamin D deficiencies and (higher) COVID-19 mortality rates.,1,NGC,1,Covid,1.0,1,0,0,0
20471,"Iran must 'walk away' from all uranium enrichment, Marco Rubio says",3,NGC,1,Iran,1.0,0,0,0,0
20127,CDC Silently Adds  Ivermectin As Essenitial Drug For Viruses,1,NGC,0,Medicine/Public Health,1.0,1,0,0,0
20201,NEW: Trump signs Insurrection Act - General Flynn to be appointed vice president. ,2,NGC,0,Jan 6th,1.0,1,0,0,0
20019,Fox News wins Pulitzer for coronavirus coverage.,1,NGC,0,Covid,1.0,1,0,0,0
20397,North Korean President Kim Jong Un blames President Joe Biden for the Israel-Hamas war,3,NGC,0,Palestine/Isreal,1.0,0,0,0,0
20337,Ukraine President Volodymyr Zelenskyy blocks Truth Social in Ukraine.,2,NGC,0,Global Politics,1.0,1,0,0,0
20282,JD Vance wrote the foreword for Project 2025’s Kevin Roberts’ upcoming book,2,NGC,1,Political Figures,1.0,1,0,0,0
20198,"NEW: Donald Trump authorized up to 20,000 National Guard troops to protect the Capitol"" before Jan. 6, 2021, but was ""rejected"" by Nancy Pelosi and Chuck Schumer.",2,NGC,0,Jan 6th,1.0,1,0,0,0
20464,Russia and Iran sign a partnership treaty to deepen their ties in the face of Western sanctions,3,NGC,1,Iran,1.0,1,0,0,0
20495,"US Intelligence Fabricates New Claims to Justify Escalation Against Iran, Officials Say",3,NGC,0,Iran,1.0,1,0,0,0
20234,Update: Van full of illegals caught voting at multiple Alabama polling locations. ,2,NGC,0,Immigration,1.0,1,0,0,0
20045,Consistent evidence supports that COVID-19 vaccination received before SARS-CoV-2 infection reduces the risk of experiencing long COVID,1,NGC,1,Vaccines,1.0,0,0,0,0
20115,New: EPA Approved a Fuel Ingredient Even Though It Could Cause Cancer in Virtually Every Person Exposed Over a Lifetime. An EPA document shows that a new Chevron fuel ingredient has a lifetime cancer risk more than 1 million times higher than what the agency usually finds acceptable.,1,NGC,1,Medicine/Public Health,1.0,1,0,0,0
20384,CNN reporter fakes being near the Israel-Gaza border.,3,NGC,0,Palestine/Isreal,1.0,1,0,0,0
20055,"Second Pfizer Jab Taken Three Weeks After First Increases Myocarditis, Pericarditis Risk Tenfold https://link.theepochtimes.com/mkt_app/second-pfizer-jab-taken-three-weeks-after-first-increases-myocarditis-pericarditis-risk-tenfold_4553134.html",1,NGC,0,Vaccines,1.0,1,0,0,0
20403,$100M corruption scandal rocks Ukraine and embroils top Zelenskyy ally,3,NGC,1,Ukraine/Russia,1.0,0,0,0,0
20291,Trump asked Comey to end investigation of Michael Flynn probe: report,2,NGC,1,Political Figures,1.0,0,0,0,0
20286,"Hunter Biden pleads guilty to federal tax charges, in surprise move on brink of trial",2,NGC,1,Political Figures,1.0,0,0,0,0
20459,Obama will start Iran war for vote': Trump's 2011 post resurfaces on internet.,3,NGC,1,Iran,1.0,0,0,0,0
20373,NEW: King of Denmark waves Palestinian flag from the balcony in support of Palestine.,3,NGC,0,Palestine/Isreal,1.0,1,0,0,0
20332,Germany Admits Trump Was Right on Borders After Taking in One Million Syrian Refugees,2,NGC,0,Global Politics,1.0,1,0,0,0
20324,EU Conservatives vote with far right to approve cuts to green rules.,2,NGC,1,Global Politics,1.0,1,0,0,0
20239,"Because of omicron, the Biden administration has decided to leave the U.S. southern border completely open.",2,NGC,0,Immigration,1.0,1,0,0,0
20508,"President Joe Biden “will address the nation from the Oval Office” on April 13, “following Iran’s attack on Israel.”",3,NGC,0,Iran,1.0,1,0,0,0
20420,Trump says Putin and Zelenskyy are 'not ready' for peace as European powers meet,3,NGC,1,Ukraine/Russia,1.0,0,0,0,0
20050,"Virginia is among the slowest states in vaccine rollout, Cox says",1,NGC,1,Vaccines,1.0,1,0,0,0
20004,"High Blood Pressure Meds Don't Increase COVID-19 Risks, Study Finds",1,NGC,1,Covid,1.0,1,0,0,0
20192,"Trump: Jan. 6th speech drew 'the same number of people' as the 1963 March wehre Martin Luther King Jr. delivered ""I Have a Dream"" speech. ",2,NGC,0,Jan 6th,1.0,0,0,0,0
20410,"Firepower' coming for Ukraine, Hegseth tells NATO",3,NGC,1,Ukraine/Russia,1.0,1,0,0,0
20018,Claim that Dr. Anthony Fauci's statement that the coronavirus death rate is 10 times that of the seasonal flu is a claim without any scientific basis.,1,NGC,0,Covid,1.0,0,0,0,0
20329,SWEDEN IS ON BRINK OF COLLAPSE… Gun Purchases Are Way Up…Pepper Spray Selling Out…Muslims Beating Non-Muslims On Streets,2,NGC,0,Global Politics,1.0,1,0,0,0
20242,Wisconsin makes it more difficult for its citizens to vote than almost any state in the nation.,2,NGC,1,Elections,1.0,0,0,0,0
20056,STUDY: Pfizer's COVID-19 Vaccine DOES Lower Men's Sperm Count. ,1,NGC,0,Vaccines,1.0,1,0,0,0
20388,Benjamin Netanyahu delivers speech to Hamas leaders — thanks them for uniting Israel.,3,NGC,0,Palestine/Isreal,1.0,1,0,0,0
20206,"Vice President Harris Claims Immigration Flow Cut by over half, as of 2024 report.  ",2,NGC,1,Immigration,1.0,0,0,0,0
20253,Sen. Chris Kapenga tells constituent that it’s illegal to hold an absentee-only election or mail ballots to every registered voter.,2,NGC,1,Elections,1.0,0,0,0,0
20189,Trump once called Jan. 6th a 'heinous attack.' Now he calls it a 'day of love.',2,NGC,1,Jan 6th,1.0,0,0,0,0
20334,TRUMP: US trade deficit with China is $1 trillion,2,NGC,0,Global Politics,1.0,0,0,0,0
20457,Putin Destroys Adrenochrome Lab in Ukraine,3,NGC,0,Ukraine/Russia,1.0,0,0,0,0
20094,DEA: Even small amount of fentanyl on skin can cause death,1,NGC,0,Drug Crisis,1.0,0,0,0,0
20276,"In comments from 2024, 2017 and 2012, Republican U.S. Senate candidate Eric Hovde said he wants to repeal the Affordable Care Act",2,NGC,1,Political Figures,1.0,0,0,0,0
