id,claim,domain,structure,label,Topic,prediction,random_baseline,majority_baseline,tfidf_baseline,run_id
20461,Iran’s supreme leader said Israel’s attack should not be exaggerated or downplayed,3,NGC,1,Iran,1,0,1,1,4
20268,"A STOLEN ELECTION: State totals minus illegal ballot trafficking numbers give President Trump decisive victories in AZ, GA, MI, PA, and WI.",2,NGC,0,Elections,0,1,1,1,4
20390,Israeli Prime Minister Benjamin Netanyahu hospitalized with “serious health issue.,3,NGC,0,Palestine/Isreal,0,0,1,1,4
20375,"FBI Director Christopher Wray warns Congress that with the border wide open and a war in Israel, Hamas can just walk right in.""",3,NGC,0,Palestine/Isreal,0,0,1,1,4
20052,Mass vaccination for COVID-19 in Senegal was started yesterday (4/8) and the first 7 CHILDREN who received it DIED on the spot.,1,NGC,0,Vaccines,0,0,1,1,4
20336,TRUMP: China gets an advantage from the Trans-Pacific Partnership,2,NGC,0,Global Politics,1,1,1,1,4
20155,SHOCKING: Marlboro Adds Puberty Blockers To Cigarettes To Make Them Legal For Kids,1,NGC,0,Sexual/Gender Health,0,0,1,1,4
20275,BOMBSHELL: California Has 1.8M More Registered Voters Than it Should,2,NGC,0,Elections,0,0,1,1,4
20158,Study: 34% of children put on transgender puberty blockers end up becoming mental cases,1,NGC,0,Sexual/Gender Health,0,0,1,1,4
20066,"Natural Immunity to Covid Never Wanes, but Fully Jabbed Are Developing AIDS ",1,NGC,0,Vaccines,0,1,1,1,4
20324,EU Conservatives vote with far right to approve cuts to green rules.,2,NGC,1,Global Politics,0,0,1,1,4
20301,"President Joe Biden Rescinds Medal of Freedom given to Trump's campaign manager, Bradley Birkenfeld.",2,NGC,0,Political Figures,0,0,1,1,4
20112,"HOW COOL IS THIS?! Scientists have discovered a new way to destroy cancer cells. By stimulating aminocyanine molecules with near-infrared light, cancer cells vibrate in sync, enough to break apart their membranes! These “molecular jackhammers” DESTROYED 99% of cancer cells!",1,NGC,1,Medicine/Public Health,0,0,1,1,4
20306,Danald Trump dead from a fatal heat attack!,2,NGC,0,Political Figures,0,0,1,1,4
20121,HEALTH EXCLUSIVE: Clinic Funded By Biden Administration Distributes Crack Pipes To Addicts Outside A ‚ÄòSchool‚Äô,1,NGC,0,Medicine/Public Health,0,1,1,1,4
20144,The Texas Supreme Court reverses a lower court’s ruling that would’ve allowed a woman to obtain a legal abortion under a medical emergency exception. ,1,NGC,1,Sexual/Gender Health,1,0,1,1,4
20384,CNN reporter fakes being near the Israel-Gaza border.,3,NGC,0,Palestine/Isreal,0,1,1,1,4
20370,Biden hasn’t signed a recent order sending $8B in aid to Israel. A ‘memo’ circulating online was altered,3,NGC,1,Palestine/Isreal,1,1,1,1,4
20314,"Trump says U.S., China close to trade deal ahead of Xi talks, TikTok decision",2,NGC,1,Global Politics,1,1,1,1,4
20473,U.S. strikes Iranian nuclear sites,3,NGC,1,Iran,0,0,1,1,4
20500,"CIA Source Reveals Iran Controls Secret Army of 200,000 Fighters Across the Middle East.",3,NGC,0,Iran,0,1,1,1,4
20326,Greece is one of NATO’s top defense spenders. Here’s why. ,2,NGC,1,Global Politics,0,0,1,1,4
20320,Supreme Court allows Trump to withhold $4 billion in foreign aid funding,2,NGC,1,Global Politics,0,1,1,1,4
20510,Donald Trump violates the Logan Act by resharing 2018 Iran tweet on Truth Social.,3,NGC,0,Iran,0,1,1,1,4
20327,FORMER MEXICAN PREZ Sends “Middle Finger” To TRUMP Days Before “Apology”: “Don’t play around with us…We can jump walls…We can swim rivers…And we can defend ourselves”,2,NGC,0,Global Politics,0,1,1,1,4
20132,Olive oil antioxidant naturally kills all cancer cells tested within an hour,1,NGC,0,Medicine/Public Health,0,1,1,1,4
20342,The United Nations replaces all 193 country flags with LGBT flags.,2,NGC,0,Global Politics,0,1,1,1,4
20423,JD Vance says Russia has made 'significant concessions' in Ukraine talks. ,3,NGC,1,Ukraine/Russia,0,1,1,1,4
20512,"Treason? Ilhan Omar Gives Iran Military Advice, Suggests It Could Target Trump Hotels",3,NGC,0,Iran,0,1,1,1,4
20056,STUDY: Pfizer's COVID-19 Vaccine DOES Lower Men's Sperm Count. ,1,NGC,0,Vaccines,0,1,1,1,4
20016,"Loss of smell may suggest milder COVID-19, study finds",1,NGC,1,Covid,1,0,1,1,4
20317,Trump raises India tariffs to 50% over Russian oil purchases,2,NGC,1,Global Politics,0,0,1,1,4
20476,U.S. claims strikes caused ‘severe damage’ and warns Iran against retaliation,3,NGC,1,Iran,1,1,1,1,4
20005,Levels of SARS-CoV-2 RNA in Sewage Rose With COVID-19 Cases in Dutch Cities,1,NGC,1,Covid,1,1,1,1,4
20282,JD Vance wrote the foreword for Project 2025’s Kevin Roberts’ upcoming book,2,NGC,1,Political Figures,0,1,1,1,4
20462,Iran's supreme leader threatens U.S. and Israel after official says it is prepared to change its policies on using nuclear weapons if faced with an existential threat.,3,NGC,1,Iran,1,0,1,1,4
20036,Nine African countries to receive Malaria vaccine for the first time.  A total of 12 countries will receive 18 million doses of the malaria vaccine over the next two years. This is after the groundbreaking vaccine was recommended by the WHO in 2021,1,NGC,1,Vaccines,1,1,1,1,4
20365,Hundreds of thousands flee Israeli military's devastating assault on Gaza City,3,NGC,1,Palestine/Isreal,0,0,1,1,4
20233,NATIONAL SECURITY FOR SALE: UNIVISION Chair Gives Hillary $7 Million To Keep Borders Open,2,NGC,0,Immigration,0,0,1,1,4
20021,FDA: Coronavirus found in crab legs.,1,NGC,0,Covid,0,0,1,1,4
20096,"US drug overdose deaths rise in 2024, according to new report",1,NGC,0,Drug Crisis,0,0,1,1,4
20151,BREAKING: PP Pauses Emergency Funding for Abortion Acecess,1,NGC,1,Sexual/Gender Health,0,0,1,1,4
20296,Hunter Biden's Prison Term Announced - Joe Biden STUNNED,2,NGC,0,Political Figures,0,1,1,1,4
20117,"In the 50s and 60s, the Army sprayed a potential carcinogen into the air of a Black St. Louis housing project. The government contends it was harmless.

Residents now are leading the charge seeking compensation and health studies. They say the secretive testing contributed to illnesses and deaths",1,NGC,1,Medicine/Public Health,1,1,1,1,4
20156,DISGUSTING: Children's Hospital of Pittsburgh is now putting out promotional videos on puberty blockers for kids.,1,NGC,0,Sexual/Gender Health,0,1,1,1,4
20300,Hillary Clinton has third heart attack — docs says she 'won't survive'.,2,NGC,0,Political Figures,0,1,1,1,4
20182,"Trump issues 1,500 unconditional pardons over January 6 capitol attack",2,NGC,1,Jan 6th,0,1,1,1,4
20458,Breaking News: Pentagon said we ACCIDENTALLY SENT $6.2 BILLION DOLLARS to UKRAINE. Accounting error. This is straight-up money laundering.,3,NGC,0,Ukraine/Russia,0,0,1,1,4
20067,The second COVID booster has eight strains of HIV.,1,NGC,0,Vaccines,0,1,1,1,4
20303,SHOCKING: Justin Trudeau’s plane found filled with cocaine as he lands in India for the G20 summit.,2,NGC,0,Political Figures,0,1,1,1,4
20347,"""Palestinians in Gaza are enduring horrifying levels of hunger and suffering” – UN Secretary-General António Guterres",3,NGC,1,Palestine/Isreal,1,0,1,1,4
20396,McDonald’s changes its food wrappers to support Israel amid the war.,3,NGC,0,Palestine/Isreal,0,1,1,1,4
20305,"Barack Obama tweets sick attack on John McCain, says he should have died.",2,NGC,0,Political Figures,0,0,1,1,4
