id,claim,domain,structure,label,Topic,prediction,random_baseline,majority_baseline,tfidf_baseline,run_id
20145,"At least one in six abortions in the U.S., around 14,000 a month, were administered through telemedicine, with clinicians prescribing mail-order abortion pills after online consultations, the first nationwide count of telehealth abortions found. nyti.ms/3UXTSvb",1,NGC,1,Sexual/Gender Health,1.0,0,0,0,2
20215,Trump's zero tolerance border policy lacks system for reuiniting familiies. ,2,NGC,1,Immigration,1.0,1,0,0,2
20414,Russia launches deadly aerial attack on Ukraine as Poland scrambles jets,3,NGC,1,Ukraine/Russia,1.0,0,0,0,2
20424,Russia's foreign minister says no Putin-Zelenskyy summit planned despite Trump's peace push,3,NGC,1,Ukraine/Russia,1.0,0,0,0,2
20368,Israeli finance minister describes plans to turn Gaza into a 'real estate bonanza' as bombs hammer the enclave,3,NGC,1,Palestine/Isreal,0.0,0,0,0,2
20371,Biden says he will stop sending bombs and artillery shells to Israel if it launches major invasion of Rafah,3,NGC,1,Palestine/Isreal,0.0,1,0,0,2
20299,Hillary Clinton leaves country as Mueller indictment is announceed,2,NGC,0,Political Figures,0.0,0,0,0,2
20156,DISGUSTING: Children's Hospital of Pittsburgh is now putting out promotional videos on puberty blockers for kids.,1,NGC,0,Sexual/Gender Health,1.0,0,0,0,2
20465,Gunman in Iran's capital fatally shoots 2 judges tied to 1988 mass executions,3,NGC,1,Iran,1.0,0,0,0,2
20021,FDA: Coronavirus found in crab legs.,1,NGC,0,Covid,0.0,0,0,0,2
20355,"Hamas needs more time to recover hostages' remains, U.S. advisers say as only nine of 28 bodies of slain abductees have been recovered. ",3,NGC,1,Palestine/Isreal,0.0,0,0,0,2
20222,Bernie Sanders Praises Trump’s Job on Securing Border,2,NGC,1,Immigration,0.0,0,0,0,2
20112,"HOW COOL IS THIS?! Scientists have discovered a new way to destroy cancer cells. By stimulating aminocyanine molecules with near-infrared light, cancer cells vibrate in sync, enough to break apart their membranes! These “molecular jackhammers” DESTROYED 99% of cancer cells!",1,NGC,1,Medicine/Public Health,0.0,0,0,0,2
20405,Russian strikes on Kyiv kill at least 4 people and wound 16,3,NGC,1,Ukraine/Russia,1.0,1,0,0,2
20309,"Nancy Pelosi's Son Paul Jr. Was Exec at 'Ukraine-Based Gas Company,' Similar to Hunter Biden",2,NGC,0,Political Figures,0.0,0,0,0,2
20037,Florida vaccination rates fall DRASTICALLY,1,NGC,1,Vaccines,1.0,1,0,0,2
20213,Federal data shows Barack Obama deported more people in each of his terms than Trump.,2,NGC,1,Immigration,1.0,1,0,0,2
20348,Masked Israeli settlers attack Palestinian villages and IDF soldiers in the West Bank,3,NGC,1,Palestine/Isreal,1.0,1,0,0,2
20077,Shocking new report finds nitazenes more deadly than fentanyl,1,NGC,1,Drug Crisis,0.0,0,0,0,2
20291,Trump asked Comey to end investigation of Michael Flynn probe: report,2,NGC,1,Political Figures,1.0,1,0,0,2
